#Keys           100
#Texts/Key 1073741824
#Steps            3
Alpha: 0000000081008102
Counter: 12
key: fe69cce1b89cb9cc586080b23c336ce0
Counter: 5
key: f4bfde89d765c053addd5eea063ec03d
Counter: 14
key: 93e1e8d05eca0fa35fa8c08e7774a956
Counter: 8
key: 7149b45304b895ec95146aa6f023ac52
Counter: 6
key: 522d3b10aed814481a5580032ec5d15b
Counter: 12
key: c401b688ab2fefc9bfa61c5871e305cb
Counter: 12
key: 97e5218df0aeb6e811fe8aab25ca5c54
Counter: 10
key: c772f58b3664cc0abc52a4eb96df4255
Counter: 9
